position_number,position_description,name,dob,nationality,value
61,Right-Back,Marco Ballarini,"Mar 28, 2001 (19)",Italy,£45Th.
38,Defensive Midfield,Rolando Mandragora,"Jun 29, 1997 (23)",Italy,£10.80m
11,Defensive Midfield,Walace,"Apr 4, 1995 (25)",Brazil,£4.50m
8,Defensive Midfield,Mato Jajalo,"May 25, 1988 (32)",Bosnia-Herzegovina / Croatia,£720Th.
12,Left Midfield,Ken Sema,"Sep 30, 1993 (26)",Sweden / DR Congo,£4.32m
10,Attacking Midfield,Rodrigo de Paul,"May 24, 1994 (26)",Argentina / Italy,£27.00m
-,Second Striker,Ryder Matos,"Feb 27, 1993 (27)",Brazil / Italy,£900Th.
15,Centre-Forward,Kevin Lasagna,"Aug 10, 1992 (28)",Italy,£7.20m
7,Centre-Forward,Stefano Okaka,"Aug 9, 1989 (31)",Italy / Nigeria,£2.70m
30,Centre-Forward,Ilija Nestorovski,"Mar 12, 1990 (30)",North Macedonia,£2.52m
-,Centre-Forward,Cristo,"Oct 24, 1997 (22)",Spain,£2.25m
91,Centre-Forward,Lukasz Teodorczyk,"Jun 3, 1991 (29)",Poland,£1.35m
-,Centre-Forward,Stipe Perica,"Jul 7, 1995 (25)",Croatia,£1.26m
-,Centre-Forward,Riad Bajić,"May 6, 1994 (26)",Bosnia-Herzegovina,£1.08m
-,Centre-Forward,Petar Micin,"Sep 29, 1998 (21)",Serbia,£540Th.
1,Goalkeeper,Mattia Perin,"Nov 10, 1992 (27)",Italy,£6.75m
22,Goalkeeper,Federico Marchetti,"Feb 7, 1983 (37)",Italy,£180Th.
17,Centre-Back,Cristian Romero,"Apr 27, 1998 (22)",Argentina,£12.60m
92,Centre-Back,Adama Soumaoro,"Jun 18, 1992 (28)",France / Mali,£5.40m
14,Centre-Back,Davide Biraschi,"Jul 2, 1994 (26)",Italy,£3.15m
5,Centre-Back,Edoardo Goldaniga,"Nov 2, 1993 (26)",Italy,£1.71m
2,Centre-Back,Cristián Zapata,"Sep 30, 1986 (33)",Colombia,£1.35m
55,Centre-Back,Andrea Masiello,"Feb 5, 1986 (34)",Italy,£900Th.
-,Centre-Back,Jawad El Yamiq,"Feb 29, 1992 (28)",Morocco,£720Th.
3,Left-Back,Antonio Barreca,"Mar 18, 1995 (25)",Italy,£2.70m
4,Left-Back,Domenico Criscito,"Dec 30, 1986 (33)",Italy,£1.98m
18,Right-Back,Paolo Ghiglione,"Feb 2, 1997 (23)",Italy,£2.88m
32,Right-Back,Peter Ankersen,"Sep 22, 1990 (29)",Denmark,£900Th.
-,Right-Back,Antonio Candela,"Apr 27, 2000 (20)",Italy,£315Th.
21,Defensive Midfield,Ivan Radovanovic,"Aug 29, 1988 (32)",Serbia,£1.71m
20,Defensive Midfield,Lasse Schöne,"May 27, 1986 (34)",Denmark,£1.35m
85,Defensive Midfield,Valon Behrami,"Apr 19, 1985 (35)",Switzerland / Kosovo,£450Th.
27,Central Midfield,Stefano Sturaro,"Mar 9, 1993 (27)",Italy,£5.40m
8,Central Midfield,Lukas Lerager,"Jul 12, 1993 (27)",Denmark,£3.60m
29,Central Midfield,Francesco Cassata,"Jul 16, 1997 (23)",Italy,£2.25m
15,Central Midfield,Filip Jagiello,"Aug 8, 1997 (23)",Poland,£1.26m
-,Central Midfield,Stephane Omeonga,"Mar 27, 1996 (24)",Belgium / DR Congo,£630Th.
33,Left Midfield,Marko Pajac,"May 11, 1993 (27)",Croatia,£990Th.
-,Attacking Midfield,Riccardo Saponara,"Dec 21, 1991 (28)",Italy,£2.25m
10,Right Winger,Iago Falque,"Jan 4, 1990 (30)",Spain,£5.40m
19,Second Striker,Goran Pandev,"Jul 27, 1983 (37)",North Macedonia / Italy,£360Th.
99,Centre-Forward,Andrea Pinamonti,"May 19, 1999 (21)",Italy,£12.15m
9,Centre-Forward,Antonio Sanabria,"Mar 4, 1996 (24)",Paraguay / Spain,£5.85m
30,Centre-Forward,Andrea Favilli,"May 17, 1997 (23)",Italy,£3.60m
23,Centre-Forward,Mattia Destro,"Mar 20, 1991 (29)",Italy,£1.62m
-,Centre-Forward,Claudio Spinelli,"Jan 21, 1997 (23)",Argentina / Italy,£450Th.
1,Goalkeeper,Lorenzo Montipò,"Feb 20, 1996 (24)",Italy,£2.07m
12,Goalkeeper,Nicolò Manfredini,"May 1, 1988 (32)",Italy,£158Th.
22,Goalkeeper,Pier Graziano Gori,"May 10, 1980 (40)",Italy,£45Th.
25,Centre-Back,Kamil Glik,"Feb 3, 1988 (32)",Poland / Germany,£3.15m
5,Centre-Back,Luca Caldirola,"Feb 1, 1991 (29)",Italy,£1.53m
35,Centre-Back,Federico Barba,"Sep 1, 1993 (26)",Italy,£1.17m
23,Centre-Back,Luca Antei,"Apr 19, 1992 (28)",Italy,£990Th.
14,Centre-Back,Massimo Volta,"May 14, 1987 (33)",Italy,£293Th.
13,Centre-Back,Alessandro Tuia,"Jun 8, 1990 (30)",Italy,£270Th.
39,Centre-Back,Christian Pastina,"Feb 15, 2001 (19)",Italy,£68Th.
2,Left-Back,Francesco Rillo,"May 23, 2000 (20)",Italy,£54Th.
3,Right-Back,Gaetano Letizia,"Jun 29, 1990 (30)",Italy,£1.35m
11,Right-Back,Christian Maggio,"Feb 11, 1982 (38)",Italy,£270Th.
10,Central Midfield,Nicolas Viola,"Oct 12, 1989 (30)",Italy,£1.89m
8,Central Midfield,Andrés Tello,"Sep 6, 1996 (23)",Colombia,£900Th.
28,Central Midfield,Pasquale Schiattarella,"May 30, 1987 (33)",Italy,£810Th.
21,Central Midfield,Perparim Hetemaj,"Dec 12, 1986 (33)",Finland / Kosovo,£765Th.
4,Central Midfield,Lorenzo Del Pinto,"Jun 17, 1990 (30)",Italy,£225Th.
6,Central Midfield,Siriki Sanogo,"Dec 13, 2001 (18)",Cote d'Ivoire,£108Th.
17,Central Midfield,Abdallah Basit,"Oct 15, 1999 (20)",Ghana,£108Th.
7,Left Midfield,Oliver Kragl,"May 12, 1990 (30)",Germany,£1.35m
27,Attacking Midfield,Dejan Vokić,"Jun 12, 1996 (24)",Slovenia,£90Th.
16,Left Winger,Riccardo Improta,"Dec 19, 1993 (26)",Italy,£990Th.
19,Right Winger,Roberto Insigne,"May 11, 1994 (26)",Italy,£1.62m
32,Centre-Forward,Gabriele Moncini,"Apr 26, 1996 (24)",Italy,£1.44m
25,Centre-Forward,Marco Sau,"Nov 3, 1987 (32)",Italy,£360Th.
20,Centre-Forward,Giuseppe Di Serio,"Jul 20, 2001 (19)",Italy,£153Th.
1,Goalkeeper,Alex Cordaz,"Jan 1, 1983 (37)",Italy,£315Th.
-,Goalkeeper,Gian Marco Crespi,"Jun 28, 2001 (19)",Italy,£135Th.
22,Goalkeeper,Marco Festa,"Jun 6, 1992 (28)",Italy,£135Th.
12,Goalkeeper,Giacomo Figliuzzi,"Nov 12, 2000 (19)",Italy,£45Th.
3,Centre-Back,Giuseppe Cuomo,"Feb 2, 1998 (22)",Italy,£900Th.
5,Centre-Back,Vladimir Golemic,"Jun 28, 1991 (29)",Serbia / Poland,£810Th.
34,Centre-Back,Luca Marrone,"Mar 28, 1990 (30)",Italy,£675Th.
2,Centre-Back,Marcos Curado,"May 9, 1995 (25)",Argentina / Italy,£360Th.
13,Centre-Back,Gabriele Bellodi,"Sep 2, 2000 (19)",Italy,£270Th.
6,Centre-Back,Guillaume Gigliotti,"Nov 9, 1989 (30)",France / Argentina,£225Th.
8,Centre-Back,Nicolás Spolli,"Feb 20, 1983 (37)",Argentina / Italy,£180Th.
29,Centre-Back,Federico Panza,"Aug 4, 2001 (19)",Italy,£45Th.
23,Left-Back,Antonio Mazzotta,"Aug 2, 1989 (31)",Italy,£270Th.
-,Right-Back,Alessandro Garattoni,"Jan 23, 1998 (22)",Italy,£90Th.
-,Defensive Midfield,Aristóteles Romero,"Oct 18, 1995 (24)",Venezuela,£180Th.
10,Central Midfield,Ahmad Benali,"Feb 7, 1992 (28)",Libya / England,£2.25m
18,Central Midfield,Andrea Barberis,"Dec 11, 1993 (26)",Italy,£1.53m
21,Central Midfield,Niccolò Zanellato,"Jun 24, 1998 (22)",Italy,£1.53m
14,Central Midfield,Giovanni Crociata,"Aug 11, 1997 (23)",Italy,£990Th.
16,Central Midfield,Alberto Gerbo,"Nov 9, 1989 (30)",Italy,£360Th.
19,Central Midfield,Tomislav Gomelt,"Jan 7, 1995 (25)",Croatia,£180Th.
17,Right Midfield,Salvatore Molina,"Jan 1, 1992 (28)",Italy,£810Th.
26,Left Midfield,Jean Lambert Evan's Allan,"Dec 17, 1998 (21)",France,£180Th.
35,Left Midfield,Francesco Rodio,"Apr 5, 2001 (19)",Italy,£68Th.
30,Right Winger,Junior Messias,"May 13, 1991 (29)",Brazil,£900Th.
11,Right Winger,Marko Jankovic,"Jul 9, 1995 (25)",Montenegro / Serbia,£720Th.
7,Right Winger,Mattia Mustacchio,"May 17, 1989 (31)",Italy,£540Th.
-,Right Winger,Giuseppe Borello,"Apr 28, 1999 (21)",Italy,£270Th.
27,Second Striker,Zak Ruggiero,"Jan 9, 2001 (19)",Italy / England,£90Th.
25,Centre-Forward,Simy,"May 7, 1992 (28)",Nigeria,£2.25m
9,Centre-Forward,Samuel Armenteros,"May 27, 1990 (30)",Sweden / Cuba,£900Th.
20,Centre-Forward,Maxi López,"Apr 3, 1984 (36)",Argentina / Italy,£180Th.
1,Goalkeeper,Simone Scuffet,"May 31, 1996 (24)",Italy,£1.08m
12,Goalkeeper,Titas Krapikas,"Jan 3, 1999 (21)",Lithuania,£315Th.
31,Goalkeeper,Axel Desjardins,"Jan 13, 2000 (20)",Canada / France,£68Th.
28,Centre-Back,Martin Erlic,"Jan 24, 1998 (22)",Croatia,£1.98m
13,Centre-Back,Elio Capradossi,"Mar 11, 1996 (24)",Italy,£1.26m
5,Centre-Back,Riccardo Marchizza,"Mar 26, 1998 (22)",Italy,£810Th.
19,Centre-Back,Claudio Terzi,"Jun 19, 1984 (36)",Italy,£270Th.
3,Left-Back,Juan Ramos,"Sep 1, 1996 (23)",Uruguay / Italy,£315Th.
33,Left-Back,Luigi Vitale,"Oct 5, 1987 (32)",Italy,£293Th.
20,Left-Back,Simone Bastoni,"Nov 5, 1996 (23)",Italy,£180Th.
21,Right-Back,Salva Ferrer,"Jan 21, 1998 (22)",Spain,£675Th.
2,Right-Back,Luca Vignali,"Jan 11, 1996 (24)",Italy,£405Th.
8,Defensive Midfield,Matteo Ricci,"May 27, 1994 (26)",Italy,£720Th.
23,Defensive Midfield,Tobias Reinhart,"May 21, 2000 (20)",Argentina,£135Th.
25,Central Midfield,Giulio Maggiore,"Mar 12, 1998 (22)",Italy,£1.35m
16,Central Midfield,Paolo Bartolomei,"Aug 22, 1989 (31)",Italy,£720Th.
6,Central Midfield,Luca Mora,"May 10, 1988 (32)",Italy,£495Th.
4,Central Midfield,Gennaro Acampora,"Mar 29, 1994 (26)",Italy,£360Th.
-,Central Midfield,Alessandro Bordin,"Aug 1, 1998 (22)",Italy,£158Th.
-,Central Midfield,Michael D'Eramo,"Aug 13, 1999 (21)",Italy,£135Th.
-,Central Midfield,Daniel Boloca,"Dec 22, 1998 (21)",Italy / Romania,£68Th.
11,Left Winger,Emmanuel Gyasi,"Jan 11, 1994 (26)",Ghana / Italy,£900Th.
32,Left Winger,Antonino Ragusa,"Mar 27, 1990 (30)",Italy,£630Th.
7,Left Winger,Antonio Di Gaudio,"Aug 16, 1989 (31)",Italy,£540Th.
10,Right Winger,Federico Ricci,"May 27, 1994 (26)",Italy,£990Th.
15,Right Winger,Giuseppe Mastinu,"Oct 9, 1991 (28)",Italy,£360Th.
14,Centre-Forward,M'Bala Nzola,"Aug 18, 1996 (24)",France / Angola,£810Th.
9,Centre-Forward,Andrej Galabinov,"Nov 13, 1988 (31)",Bulgaria,£360Th.
17,Centre-Forward,Sveinn Aron Gudjohnsen,"May 12, 1998 (22)",Iceland,£360Th.
1,Goalkeeper,Manuel Neuer,"Mar 27, 1986 (34)",Germany,£13.05m
37,Goalkeeper,Alexander Nübel,"Sep 30, 1996 (23)",Germany,£8.55m
26,Goalkeeper,Sven Ulreich,"Aug 3, 1988 (32)",Germany,£3.15m
39,Goalkeeper,Ron-Thorben Hoffmann,"Apr 4, 1999 (21)",Germany,£225Th.
27,Centre-Back,David Alaba,"Jun 24, 1992 (28)",Austria,£58.50m
21,Centre-Back,Lucas Hernández,"Feb 14, 1996 (24)",France / Spain,£50.40m
4,Centre-Back,Niklas Süle,"Sep 3, 1995 (24)",Germany,£43.20m
17,Centre-Back,Jérôme Boateng,"Sep 3, 1988 (31)",Germany,£10.80m
23,Centre-Back,Tanguy Nianzou,"Jun 7, 2002 (18)",France / Cote d'Ivoire,£9.90m
19,Left-Back,Alphonso Davies,"Nov 2, 2000 (19)",Canada / Liberia,£54.00m
5,Right-Back,Benjamin Pavard,"Mar 28, 1996 (24)",France,£36.00m
32,Defensive Midfield,Joshua Kimmich,"Feb 8, 1995 (25)",Germany,£67.50m
8,Defensive Midfield,Javi Martínez,"Sep 2, 1988 (31)",Spain,£11.70m
-,Defensive Midfield,Adrian Fein,"Mar 18, 1999 (21)",Germany,£4.50m
18,Central Midfield,Leon Goretzka,"Feb 6, 1995 (25)",Germany,£45.00m
6,Central Midfield,Thiago,"Apr 11, 1991 (29)",Spain / Brazil,£43.20m
24,Central Midfield,Corentin Tolisso,"Aug 3, 1994 (26)",France / Togo,£22.95m
11,Central Midfield,Michaël Cuisance,"Aug 16, 1999 (21)",France,£9.00m
10,Attacking Midfield,Philippe Coutinho,"Jun 12, 1992 (28)",Brazil / Portugal,£50.40m
10,Left Winger,Leroy Sané,"Jan 11, 1996 (24)",Germany / France,£72.00m
29,Left Winger,Kingsley Coman,"Jun 13, 1996 (24)",France / Guadeloupe,£36.00m
14,Left Winger,Ivan Perisic,"Feb 2, 1989 (31)",Croatia,£15.75m
34,Left Winger,Oliver Batista Meier,"Feb 16, 2001 (19)",Germany / Brazil,£1.35m
22,Right Winger,Serge Gnabry,"Jul 14, 1995 (25)",Germany / Cote d'Ivoire,£64.80m
16,Right Winger,Leon Dajaku,"Apr 12, 2001 (19)",Germany / Kosovo,£2.07m
25,Second Striker,Thomas Müller,"Sep 13, 1989 (30)",Germany,£27.00m
9,Centre-Forward,Robert Lewandowski,"Aug 21, 1988 (32)",Poland,£50.40m
35,Centre-Forward,Joshua Zirkzee,"May 22, 2001 (19)",Netherlands / Nigeria,£8.10m
15,Centre-Forward,Fiete Arp,"Jan 6, 2000 (20)",Germany,£1.80m
1,Goalkeeper,Roman Bürki,"Nov 14, 1990 (29)",Switzerland,£9.90m
35,Goalkeeper,Marwin Hitz,"Sep 18, 1987 (32)",Switzerland,£1.80m
25,Goalkeeper,Luca Unbehaun,"Feb 27, 2001 (19)",Germany,£315Th.
5,Centre-Back,Dan-Axel Zagadou,"Jun 3, 1999 (21)",France / Cote d'Ivoire,£28.35m
15,Centre-Back,Mats Hummels,"Dec 16, 1988 (31)",Germany,£21.60m
16,Centre-Back,Manuel Akanji,"Jul 19, 1995 (25)",Switzerland / Nigeria,£18.00m
14,Left-Back,Nico Schulz,"Apr 1, 1993 (27)",Germany / Italy,£10.80m
29,Left-Back,Marcel Schmelzer,"Jan 22, 1988 (32)",Germany,£1.26m
24,Right-Back,Thomas Meunier,"Sep 12, 1991 (28)",Belgium,£21.60m
2,Right-Back,Mateu Morey,"Mar 2, 2000 (20)",Spain,£2.70m
26,Right-Back,Lukasz Piszczek,"Jun 3, 1985 (35)",Poland,£1.80m
30,Right-Back,Felix Passlack,"May 29, 1998 (22)",Germany,£1.17m
23,Defensive Midfield,Emre Can,"Jan 12, 1994 (26)",Germany / Turkey,£21.60m
28,Defensive Midfield,Axel Witsel,"Jan 12, 1989 (31)",Belgium / Martinique,£19.35m
37,Defensive Midfield,Tobias Raschl,"Feb 21, 2000 (20)",Germany,£810Th.
19,Central Midfield,Julian Brandt,"May 2, 1996 (24)",Germany,£36.00m
6,Central Midfield,Thomas Delaney,"Sep 3, 1991 (28)",Denmark / United States,£15.75m
22,Central Midfield,Jude Bellingham,"Jun 29, 2003 (17)",England,£9.90m
8,Central Midfield,Mahmoud Dahoud,"Jan 1, 1996 (24)",Germany / Syria,£5.85m
13,Left Midfield,Raphaël Guerreiro,"Dec 22, 1993 (26)",Portugal / France,£31.50m
11,Attacking Midfield,Marco Reus,"May 31, 1989 (31)",Germany,£22.50m
20,Attacking Midfield,Reinier,"Jan 19, 2002 (18)",Brazil,£20.25m
32,Attacking Midfield,Giovanni Reyna,"Nov 13, 2002 (17)",United States / Portugal,£13.50m
-,Attacking Midfield,Sergio Gómez,"Sep 4, 2000 (19)",Spain,£2.07m
33,Attacking Midfield,Immanuel Pherai,"Apr 25, 2001 (19)",Netherlands / Suriname,£720Th.
10,Left Winger,Thorgan Hazard,"Mar 29, 1993 (27)",Belgium,£28.80m
7,Right Winger,Jadon Sancho,"Mar 25, 2000 (20)",England,£105.30m
27,Right Winger,Marius Wolf,"May 27, 1995 (25)",Germany,£5.85m
9,Centre-Forward,Erling Haaland,"Jul 21, 2000 (20)",Norway,£64.80m
18,Centre-Forward,Youssoufa Moukoko,"Nov 20, 2004 (15)",Germany / Cameroon,
1,Goalkeeper,Péter Gulácsi,"May 6, 1990 (30)",Hungary,£8.55m
33,Goalkeeper,Josep Martínez,"May 27, 1998 (22)",Spain,£2.07m
13,Goalkeeper,Philipp Tschauner,"Nov 3, 1985 (34)",Germany,£293Th.
32,Goalkeeper,Tim Schreiber,"Apr 24, 2002 (18)",Germany,
5,Centre-Back,Dayot Upamecano,"Oct 27, 1998 (21)",France / Guinea-Bissau,£40.50m
6,Centre-Back,Ibrahima Konaté,"May 25, 1999 (21)",France / Mali,£36.45m
16,Centre-Back,Lukas Klostermann,"Jun 3, 1996 (24)",Germany,£31.50m
4,Centre-Back,Willi Orban,"Nov 3, 1992 (27)",Hungary / Germany,£14.40m
23,Left-Back,Marcel Halstenberg,"Sep 27, 1991 (28)",Germany,£18.00m
22,Right-Back,Nordi Mukiele,"Nov 1, 1997 (22)",France / DR Congo,£18.00m
39,Right-Back,Benjamin Henrichs,"Feb 23, 1997 (23)",Germany / Ghana,£10.80m
14,Defensive Midfield,Tyler Adams,"Feb 14, 1999 (21)",United States,£12.60m
27,Central Midfield,Konrad Laimer,"May 27, 1997 (23)",Austria,£25.20m
44,Central Midfield,Kevin Kampl,"Oct 9, 1990 (29)",Slovenia,£15.75m
8,Central Midfield,Amadou Haidara,"Jan 31, 1998 (22)",Mali,£13.95m
18,Attacking Midfield,Christopher Nkunku,"Nov 14, 1997 (22)",France / DR Congo,£29.70m
25,Attacking Midfield,Dani Olmo,"May 7, 1998 (22)",Spain,£28.35m
10,Left Winger,Emil Forsberg,"Oct 23, 1991 (28)",Sweden,£20.25m
17,Left Winger,Ademola Lookman,"Oct 20, 1997 (22)",England / Nigeria,£12.15m
7,Right Winger,Marcel Sabitzer,"Mar 17, 1994 (26)",Austria,£31.50m
35,Right Winger,Fabrice Hartmann,"Mar 2, 2001 (19)",Germany,£315Th.
9,Centre-Forward,Yussuf Poulsen,"Jun 15, 1994 (26)",Denmark / Tanzania,£21.60m
11,Centre-Forward,Hee-chan Hwang,"Jan 26, 1996 (24)","Korea, South",£13.50m
29,Centre-Forward,Jean-Kévin Augustin,"Jun 16, 1997 (23)",France / Haiti,£8.55m
41,Centre-Forward,Dennis Borkowski,"Jan 26, 2002 (18)",Germany,£270Th.
1,Goalkeeper,Lukas Hradecky,"Nov 24, 1989 (30)",Finland / Slovakia,£7.20m
21,Goalkeeper,Lennart Grill,"Jan 25, 1999 (21)",Germany,£1.35m
36,Goalkeeper,Niklas Lomb,"Jul 28, 1993 (27)",Germany,£225Th.
4,Centre-Back,Jonathan Tah,"Feb 11, 1996 (24)",Germany / Cote d'Ivoire,£21.60m
12,Centre-Back,Edmond Tapsoba,"Feb 2, 1999 (21)",Burkina Faso,£19.80m
3,Centre-Back,Panagiotis Retsos,"Aug 9, 1998 (22)",Greece,£7.20m
5,Centre-Back,Sven Bender,"Apr 27, 1989 (31)",Germany,£6.30m
16,Centre-Back,Tin Jedvaj,"Nov 28, 1995 (24)",Croatia,£6.30m
6,Centre-Back,Aleksandar Dragovic,"Mar 6, 1991 (29)",Austria / Serbia,£4.68m
18,Left-Back,Wendell,"Jul 20, 1993 (27)",Brazil,£9.00m
22,Left-Back,Daley Sinkgraven,"Jul 4, 1995 (25)",Netherlands,£4.32m
23,Right-Back,Mitchell Weiser,"Apr 21, 1994 (26)",Germany,£7.20m
8,Right-Back,Lars Bender,"Apr 27, 1989 (31)",Germany,£6.30m
15,Defensive Midfield,Julian Baumgartlinger,"Jan 2, 1988 (32)",Austria,£2.16m
10,Central Midfield,Kerem Demirbay,"Jul 3, 1993 (27)",Germany / Turkey,£21.60m
25,Central Midfield,Exequiel Palacios,"Oct 5, 1998 (21)",Argentina,£16.20m
20,Central Midfield,Charles Aránguiz,"Apr 17, 1989 (31)",Chile,£10.80m
29,Attacking Midfield,Kai Havertz,"Jun 11, 1999 (21)",Germany,£72.90m
11,Attacking Midfield,Nadiem Amiri,"Oct 27, 1996 (23)",Germany / Afghanistan,£14.40m
19,Left Winger,Moussa Diaby,"Jul 7, 1999 (21)",France / Mali,£28.80m
9,Left Winger,Leon Bailey,"Aug 9, 1997 (23)",Jamaica,£26.55m
7,Left Winger,Paulinho,"Jul 15, 2000 (20)",Brazil,£12.15m
38,Right Winger,Karim Bellarabi,"Apr 8, 1990 (30)",Germany / Morocco,£10.80m
27,Right Winger,Florian Wirtz,"May 3, 2003 (17)",Germany,£9.00m
31,Centre-Forward,Kevin Volland,"Jul 30, 1992 (28)",Germany,£25.20m
13,Centre-Forward,Lucas Alario,"Oct 8, 1992 (27)",Argentina / Italy,£12.15m
17,Centre-Forward,Joel Pohjanpalo,"Sep 13, 1994 (25)",Finland,£1.80m
1,Goalkeeper,Yann Sommer,"Dec 17, 1988 (31)",Switzerland,£8.55m
21,Goalkeeper,Tobias Sippel,"Mar 22, 1988 (32)",Germany,£360Th.
31,Goalkeeper,Max Grün,"Apr 5, 1987 (33)",Germany,£135Th.
41,Goalkeeper,Jan Olschowsky,"Nov 18, 2001 (18)",Germany,£90Th.
28,Centre-Back,Matthias Ginter,"Jan 19, 1994 (26)",Germany,£25.20m
30,Centre-Back,Nico Elvedi,"Sep 30, 1996 (23)",Switzerland,£25.20m
24,Centre-Back,Tony Jantschke,"Apr 7, 1990 (30)",Germany,£2.16m
4,Centre-Back,Mamadou Doucouré,"May 21, 1998 (22)",France / Senegal,£405Th.
25,Left-Back,Ramy Bensebaini,"Apr 16, 1995 (25)",Algeria,£13.50m
17,Left-Back,Oscar Wendt,"Oct 24, 1985 (34)",Sweden,£1.08m
40,Left-Back,Andreas Poulsen,"Oct 13, 1999 (20)",Denmark,£900Th.
18,Right-Back,Stefan Lainer,"Aug 27, 1992 (28)",Austria,£13.05m
15,Right-Back,Jordan Beyer,"May 19, 2000 (20)",Germany,£2.07m
3,Right-Back,Michael Lang,"Feb 8, 1991 (29)",Switzerland,£855Th.
33,Right-Back,Kaan Kurt,"Dec 21, 2001 (18)",Germany / Turkey,£180Th.
8,Defensive Midfield,Denis Zakaria,"Nov 20, 1996 (23)",Switzerland / DR Congo,£36.00m
6,Defensive Midfield,Christoph Kramer,"Feb 19, 1991 (29)",Germany,£6.30m
32,Central Midfield,Florian Neuhaus,"Mar 16, 1997 (23)",Germany,£20.70m
23,Central Midfield,Jonas Hofmann,"Jul 14, 1992 (28)",Germany,£8.10m
22,Central Midfield,Lászlo Bénes,"Sep 9, 1997 (22)",Slovakia,£7.20m
19,Right Midfield,Valentino Lazaro,"Mar 24, 1996 (24)",Austria,£13.50m
11,Attacking Midfield,Hannes Wolf,"Apr 16, 1999 (21)",Austria,£9.90m
26,Attacking Midfield,Torben Müsel,"Jul 25, 1999 (21)",Germany,£293Th.
27,Attacking Midfield,Famana Quizera,"Apr 25, 2002 (18)",Portugal / Guinea-Bissau,
10,Left Winger,Marcus Thuram,"Aug 6, 1997 (23)",France / Guadeloupe,£28.80m
37,Left Winger,Keanan Bennetts,"Mar 9, 1999 (21)",England / Germany,£1.17m
7,Right Winger,Patrick Herrmann,"Feb 12, 1991 (29)",Germany,£4.68m
16,Right Winger,Ibrahima Traoré,"Apr 21, 1988 (32)",Guinea / France,£720Th.
13,Second Striker,Lars Stindl,"Aug 26, 1988 (32)",Germany,£5.85m
14,Centre-Forward,Alassane Plea,"Mar 10, 1993 (27)",France / Mali,£27.00m
36,Centre-Forward,Breel Embolo,"Feb 14, 1997 (23)",Switzerland / Cameroon,£14.40m
20,Centre-Forward,Julio Villalba,"Sep 17, 1998 (21)",Paraguay,£360Th.
1,Goalkeeper,Alexander Schwolow,"Jun 2, 1992 (28)",Germany,£6.30m
22,Goalkeeper,Rune Jarstein,"Sep 29, 1984 (35)",Norway,£720Th.
12,Goalkeeper,Nils Körber,"Nov 13, 1996 (23)",Germany,£428Th.
38,Goalkeeper,Florian Palmowski,"Jun 11, 2001 (19)",Germany,£90Th.
5,Centre-Back,Niklas Stark,"Apr 14, 1995 (25)",Germany,£11.70m
25,Centre-Back,Jordan Torunarigha,"Aug 7, 1997 (23)",Germany / Nigeria,£11.70m
20,Centre-Back,Dedryck Boyata,"Nov 28, 1990 (29)",Belgium / DR Congo,£9.00m
4,Centre-Back,Karim Rekik,"Dec 2, 1994 (25)",Netherlands / Tunisia,£8.55m
31,Centre-Back,Márton Dárdai,"Feb 12, 2002 (18)",Germany / Hungary,£405Th.
35,Centre-Back,Omar Rekik,"Dec 20, 2001 (18)",Netherlands / Tunisia,£315Th.
37,Centre-Back,Florian Baak,"Mar 18, 1999 (21)",Germany,£315Th.
17,Left-Back,Maximilian Mittelstädt,"Mar 18, 1997 (23)",Germany,£9.90m
21,Left-Back,Marvin Plattenhardt,"Jan 26, 1992 (28)",Germany,£4.95m
32,Left-Back,Luca Netz,"May 15, 2003 (17)",Germany,
13,Right-Back,Lukas Klünter,"May 26, 1996 (24)",Germany,£3.60m
42,Right-Back,Deyovaisio Zeefuik,"Mar 11, 1998 (22)",Netherlands / Suriname,£2.43m
2,Right-Back,Peter Pekarik,"Oct 30, 1986 (33)",Slovakia,£360Th.
29,Defensive Midfield,Lucas Tousart,"Apr 29, 1997 (23)",France,£14.40m
23,Defensive Midfield,Arne Maier,"Jan 8, 1999 (21)",Germany,£13.95m
18,Defensive Midfield,Santiago Ascacíbar,"Feb 25, 1997 (23)",Argentina,£7.20m
6,Central Midfield,Vladimir Darida,"Aug 8, 1990 (30)",Czech Republic,£4.95m
39,Central Midfield,Julian Albrecht,"Aug 31, 2001 (18)",Germany,£270Th.
10,Attacking Midfield,Ondrej Duda,"Dec 5, 1994 (25)",Slovakia,£9.45m
40,Attacking Midfield,Lazar Samardzic,"Feb 24, 2002 (18)",Germany / Serbia,£1.35m
16,Left Winger,Javairô Dilrosun,"Jun 22, 1998 (22)",Netherlands / Suriname,£13.05m
34,Left Winger,Maurice Covic,"Apr 17, 1998 (22)",Germany / Croatia,£135Th.
28,Right Winger,Dodi Lukebakio,"Sep 24, 1997 (22)",Belgium / DR Congo,£17.10m
11,Right Winger,Mathew Leckie,"Feb 4, 1991 (29)",Australia,£1.98m
24,Right Winger,Palko Dárdai,"Apr 24, 1999 (21)",Germany / Hungary,£563Th.
9,Centre-Forward,Matheus Cunha,"May 27, 1999 (21)",Brazil,£19.80m
7,Centre-Forward,Krzysztof Piatek,"Jul 1, 1995 (25)",Poland,£19.35m
33,Centre-Forward,Daishawn Redan,"Feb 2, 2001 (19)",Netherlands / Suriname,£3.24m
27,Centre-Forward,Jessic Ngankam,"Jul 20, 2000 (20)",Germany / Cameroon,£540Th.
